Agency Type,Distribution Channel,Claim,Duration,Destination,Net Sales,Commision (in value),Age
0,0,0,119.0,0,-27.0,9.57,55.0
0,0,0,119.0,0,-27.0,9.57,55.0
0,1,0,65.0,1,-27.0,28.875000000000004,32.0
0,1,0,60.0,1,-27.0,23.76,32.0
0,1,0,79.0,2,-19.8,11.88,41.0
1,1,0,66.0,3,-27.0,28.875000000000004,44.0
0,1,0,47.0,3,-27.0,23.76,32.0
0,1,0,63.0,1,-27.0,28.875000000000004,29.0
0,1,0,57.0,4,-19.8,11.88,44.0
0,1,0,119.0,1,-27.0,28.875000000000004,37.0
1,1,0,33.0,5,-26.0,9.1,55.0
1,1,0,1.0,0,-18.0,6.3,47.0
0,1,0,53.0,6,-27.0,28.875000000000004,48.0
0,1,0,5.0,0,-27.0,23.76,55.0
0,1,0,39.0,7,-25.0,0.0,36.0
0,1,0,6.0,8,-19.8,11.88,53.0
0,1,0,48.0,8,-27.0,28.875000000000004,43.0
0,1,0,11.0,3,-27.0,17.82,55.0
1,1,0,3.0,0,-18.0,6.3,47.0
0,1,0,14.0,4,-27.0,28.875000000000004,37.0
0,1,0,119.0,6,-27.0,28.875000000000004,32.0
1,1,0,12.0,9,46.15,11.54,44.0
1,1,0,7.0,9,17.55,4.39,25.0
1,1,1,12.0,9,93.0,23.5,34.0
1,1,0,119.0,9,93.0,28.875000000000004,26.0
1,1,0,119.0,9,93.0,28.875000000000004,30.0
0,1,0,29.0,3,9.9,5.94,33.0
0,1,0,28.0,3,9.9,5.94,33.0
0,1,0,119.0,10,69.3,28.875000000000004,35.0
0,1,0,28.0,11,19.8,11.88,31.0
0,1,0,4.0,11,29.7,17.82,55.0
0,1,0,54.0,1,0.0,28.875000000000004,31.0
0,1,0,24.0,1,89.1,28.875000000000004,33.0
0,1,0,9.0,12,25.0,0.0,36.0
0,1,0,12.0,0,24.0,0.0,36.0
0,1,0,45.0,0,20.0,0.0,36.0
0,1,0,35.0,13,27.0,0.0,36.0
0,1,0,28.0,4,20.0,0.0,44.0
0,1,0,24.0,14,43.0,0.0,36.0
0,1,0,8.0,15,78.0,0.0,36.0
0,1,0,119.0,12,20.0,0.0,36.0
0,1,0,36.0,16,22.0,0.0,23.0
0,1,0,3.0,7,27.0,0.0,46.0
0,1,0,38.0,9,41.0,0.0,36.0
0,1,0,36.0,3,93.0,0.0,49.0
0,1,0,4.0,4,20.0,0.0,50.0
0,1,0,3.0,0,20.0,0.0,36.0
0,1,0,13.0,4,35.0,0.0,36.0
0,1,0,11.0,17,43.0,0.0,36.0
0,1,0,27.0,12,20.0,0.0,55.0
